character,radical,decomposition,pinyin,definition,etymology,stroke_count,radical_code,frequency_rank,hsk_levl
可,口,⿻丁口,kě,"may, can, -able; possibly","{'type': 'pictophonetic', 'semantic': '丁', 'hint': 'vigorous', 'phonetic': '口'}",5,30.2,30,2.0
也,乙,⿻？乚,yě,also; classical final particle of strong affirmation or identity,,3,5.2,31,2.0
你,人,⿰亻尔,nǐ,"you, second person pronoun","{'type': 'ideographic', 'hint': 'Pronoun\xa0尔 for a person\xa0亻'}",7,9.5,32,1.0
对,寸,⿰又寸,duì,"correct, right; facing, opposed","{'type': 'ideographic', 'hint': 'A pair\xa0又\xa0of hands 寸'}",5,41.2,33,1.0
生,生,⿻一土,shēng,"life, living, lifetime; birth","{'type': 'ideographic', 'hint': '\xa0A shoot\xa0屮\xa0growing in the soil\xa0土'}",5,100.0,34,1.0
能,肉,⿰⿱厶⺼⿱匕匕,néng,"to be able; can, permitted to; ability","{'type': 'pictographic', 'hint': ""A bear's head\xa0厶, body\xa0⺼, and claws\xa0匕""}",10,130.6,35,1.0
而,而,？,ér,and; and then; and yet; but,,6,126.0,36,3.0
子,子,⿻了一,zi,"offspring, child; fruit, seed of; 1st terrestrial branch","{'type': 'pictographic', 'hint': 'A child in a wrap, with outstretched arms but bundled legs'}",3,39.0,37,1.0
那,邑,⿰⿹？？阝,nà,"that, that one, those",,6,163.4,38,1.0
得,彳,⿰彳⿱旦寸,dé,"obtain, get, gain, acquire","{'type': 'ideographic', 'hint': 'A hand\xa0寸 grabbing a shell\xa0旦'}",11,60.8,39,2.0
于,二,⿻二亅,yú,"in, on, at; go to; surname",,3,7.1,40,3.0
着,目,⿸羊目,zhe,"make move, take action",,11,109.6,41,2.0
下,一,⿱一卜,xià,"under, underneath, below; down; inferior; bring down","{'type': 'ideographic', 'hint': 'One stroke under another; compare\xa0上 (above)'}",3,1.2,42,1.0
自,自,⿻目？,zì,"self, private, personal; from","{'type': 'pictographic', 'hint': 'A nose; in China, people refer to themselves by pointing to their noses'}",6,132.0,43,3.0
之,丿,⿱丶？,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to","{'type': 'ideographic', 'hint': 'A foot meaning ""to follow""; cursive version of\xa0止'}",3,4.3,44,4.0
年,干,⿻干？,nián,,"{'type': 'ideographic', 'hint': 'A man\xa0干 carrying grain, representing the annual harvest'}",6,51.3,45,1.0
过,辵,⿺辶寸,guò,"pass, pass through, go across","{'type': 'pictophonetic', 'phonetic': '咼', 'semantic': '辶', 'hint': 'walk'}",6,162.3,46,2.0
发,又,⿸？又,fā,"issue, dispatch, send out; hair",,5,29.3,47,3.0
后,口,⿸？口,hòu,"queen, empress, sovereign; (simp. for ",,6,30.3,48,1.0
作,人,⿰亻乍,zuò,"make; work; compose, write; act, perform","{'type': 'ideographic', 'hint': 'A person\xa0亻 making something for the first time\xa0乍;\xa0乍 also provides the pronunciation'}",7,9.5,49,1.0
里,里,⿱田土,lǐ,unit of distance; village; lane,"{'type': 'ideographic', 'hint': 'Unit of measure for farm 田 land\xa0土'}",7,166.0,50,1.0
用,用,⿵冂？,yòng,"use, employ, apply, operate; use",,5,101.0,51,3.0
道,辵,⿺辶首,dào,"path, road, street; method, way","{'type': 'pictophonetic', 'phonetic': '首', 'semantic': '辶', 'hint': 'walk'}",12,162.9,52,2.0
行,行,⿰彳亍,xíng,"go; walk; move, travel; circulate","{'type': 'ideographic', 'hint': ""To take small steps\xa0亍 with one's feet\xa0彳""}",6,144.0,53,3.0
所,戶,⿰户斤,suǒ,"place, location; numerary adjunct","{'type': 'ideographic', 'hint': 'An axe\xa0斤 swung at a door\xa0户'}",8,63.4,54,2.0
然,火,⿱肰灬,rán,"yes, certainly; pledge, promise","{'type': 'pictophonetic', 'phonetic': '肰', 'semantic': '灬', 'hint': 'fire'}",12,86.8,55,2.0
家,宀,⿱宀豕,jiā,"house, home, residence; family","{'type': 'pictophonetic', 'phonetic': '豕', 'semantic': '宀', 'hint': 'roof'}",10,40.7,56,1.0
种,禾,⿰禾中,zhǒng,"seed; race, breed; to plant","{'type': 'pictophonetic', 'phonetic': '中', 'semantic': '禾', 'hint': 'grain'}",9,115.4,57,3.0
事,亅,⿻⿳一口彐亅,shì,"affair, matter, business; to serve; accident, incident",,8,6.7,58,2.0
成,戈,⿰丁戈,chéng,"completed, finished, fixed",,6,62.3,59,3.0
方,方,⿱亠？,fāng,"a square, rectangle; a region; local",,4,70.0,60,3.0
多,夕,⿱夕夕,duō,"much, many; more than, over","{'type': 'ideographic', 'hint': 'Two nights\xa0夕, suggesting many'}",6,36.3,61,1.0
经,糸,⿰纟⿱？工,jīng,classic works; pass through,"{'type': 'pictophonetic', 'phonetic': '工', 'semantic': '纟', 'hint': 'thread'}",8,120.5,62,2.0
么,丿,⿱丿厶,me,interrogative particle; repetition of a tune small; tender,,3,4.2,63,1.0
去,厶,⿱土厶,qù,"go away, leave, depart",,5,28.3,64,1.0
法,水,⿰氵去,fǎ,"law, rule, regulation, statute; France, French","{'type': 'ideographic', 'hint': 'The course\xa0去 followed by a stream\xa0氵'}",8,85.5,65,3.0
学,子,⿱⿱⺍冖子,xué,"learning, knowledge; school","{'type': 'ideographic', 'hint': 'A building\xa0冖 where children\xa0子\xa0study;\xa0⺍ provides the pronunciation'}",8,39.5,66,1.0
如,女,⿰女口,rú,"if, supposing; as if; like, as","{'type': 'ideographic', 'hint': ""A wife 女 following her husband's words\xa0口""}",6,38.3,67,3.0
都,邑,⿰者阝,dōu,"metropolis, capital; all, the whole; elegant, refined","{'type': 'pictophonetic', 'phonetic': '者', 'semantic': '阝', 'hint': 'city'}",10,163.9,68,1.0
同,口,⿵凡口,tóng,"same, similar; together with","{'type': 'ideographic', 'hint': 'Sharing a common\xa0凡\xa0tongue\xa0口'}",6,30.3,69,1.0
现,玉,⿰王见,xiàn,"appear, manifest, become visible","{'type': 'ideographic', 'hint': 'To see\xa0见 jade\xa0王;\xa0见 also provides the pronunciation'}",8,96.4,70,1.0
当,小,⿱⺌彐,dāng,"bear, accept, undertake; just",,6,42.3,71,3.0
没,水,⿰氵殳,méi,"not, have not, none; drown, sink","{'type': 'pictophonetic', 'phonetic': '殳', 'semantic': '氵', 'hint': 'water'}",7,85.4,72,1.0
动,力,⿰云力,dòng,"move, happen; movement, action","{'type': 'pictophonetic', 'semantic': '力', 'hint': 'strength'}",6,19.4,73,2.0
面,面,⿱？？,miàn,"face; surface; plane; side, dimension","{'type': 'pictographic', 'hint': ""A person's face""}",9,176.0,74,1.0
起,走,⿺走己,qǐ,"rise, stand up; go up; begin","{'type': 'pictophonetic', 'phonetic': '己', 'semantic': '走', 'hint': 'walk'}",10,156.3,75,1.0
看,目,⿱手目,kàn,"look, see; examine, scrutinize","{'type': 'ideographic', 'hint': ""Shielding one's eyes\xa0目\xa0with a hand 手 to look to the distance""}",9,109.4,76,1.0
定,宀,⿱宀疋,dìng,"decide, settle, fix","{'type': 'ideographic', 'hint': 'A person\xa0疋 settling under a roof\xa0宀'}",8,40.5,77,3.0
天,大,⿱一大,tiān,"sky, heaven; god, celestial","{'type': 'ideographic', 'hint': 'The heavens 一\xa0above a man\xa0大'}",4,37.1,78,1.0
分,刀,⿱八刀,fēn,divide; small unit of time etc.,"{'type': 'ideographic', 'hint': 'Pieces\xa0八 being further subdivided with a knife\xa0刀\xa0'}",4,18.2,79,1.0
还,辵,⿺辶不,hái,"still, yet, also, besides","{'type': 'ideographic', 'hint': 'Not\xa0不 moving 辶'}",7,162.4,80,2.0
进,辵,⿺辶井,jìn,"advance, make progress, enter","{'type': 'pictophonetic', 'phonetic': '井', 'semantic': '辶', 'hint': 'walk'}",7,162.4,81,2.0
好,女,⿰女子,hǎo,"good, excellent, fine; well","{'type': 'ideographic', 'hint': 'A woman\xa0女 with a son\xa0子'}",6,38.3,82,1.0
小,小,⿻亅八,xiǎo,"small, tiny, insignificant","{'type': 'ideographic', 'hint': 'Dividing\xa0八 by a line\xa0亅'}",3,42.0,83,1.0
部,邑,⿰咅阝,bù,"part, division, section","{'type': 'pictophonetic', 'phonetic': '咅', 'semantic': '阝', 'hint': 'place'}",10,163.8,84,4.0
其,八,⿱甘⿱一八,qí,"his, her, its, their; that",,8,12.6,85,3.0
些,二,⿱此二,xiē,"little, few; rather, somewhat","{'type': 'pictophonetic', 'phonetic': '此', 'semantic': '二', 'hint': 'two'}",8,7.5,86,1.0
主,丶,⿱丶王,zhǔ,"master, chief owner; host; lord","{'type': 'pictographic', 'hint': 'A lamp\xa0王\xa0with a flame\xa0丶'}",5,3.4,87,3.0
样,木,⿰木羊,yàng,"shape, form, pattern, style","{'type': 'pictophonetic', 'phonetic': '羊', 'semantic': '木', 'hint': 'tree'}",10,75.6,88,1.0
理,玉,⿰王里,lǐ,"reason, logic; manage","{'type': 'pictophonetic', 'phonetic': '里', 'semantic': '王', 'hint': 'king'}",11,96.7,89,3.0
心,心,？,xīn,"heart; mind, intelligence; soul","{'type': 'pictographic', 'hint': 'A heart'}",4,61.0,90,3.0
她,女,⿰女也,tā,"she, her","{'type': 'ideographic', 'hint': 'A woman\xa0女 beside you\xa0也'}",6,38.3,91,1.0
本,木,⿻木一,běn,"root, origin, source; basis","{'type': 'ideographic', 'hint': 'A tree\xa0木 with its roots highlighted'}",5,75.1,92,1.0
前,刀,⿱⿱丷一刖,qián,"in front, forward; preceding",,9,18.7,93,1.0
开,廾,⿱一廾,kāi,"open; initiate, begin, start","{'type': 'ideographic', 'hint': 'Simplified form of\xa0開; hands\xa0廾 lifting the latch\xa0一\xa0of a door'}",4,55.1,94,1.0
但,人,⿰亻旦,dàn,"only; but, however, yet, still","{'type': 'pictophonetic', 'phonetic': '旦'}",7,9.5,95,2.0
因,囗,⿴囗大,yīn,"cause, reason; by; because (of)",,6,31.3,96,2.0
只,口,⿱口八,zhǐ,"only, just, simply","{'type': 'ideographic', 'hint': 'Simple words\xa0八 coming\xa0from the mouth\xa0口'}",5,30.2,97,3.0
从,人,⿰人人,cóng,"from, by, since, whence, through","{'type': 'ideographic', 'hint': 'One person\xa0人 following another'}",4,9.2,98,2.0
想,心,⿱相心,xiǎng,"think, speculate, plan, consider","{'type': 'pictophonetic', 'phonetic': '相', 'semantic': '心', 'hint': 'mind'}",13,61.9,99,1.0
实,宀,⿱宀头,shí,"real, true; honest, sincere",,8,40.5,100,3.0
日,日,⿴口一,rì,sun; day; daytime,"{'type': 'pictographic', 'hint': 'The sun'}",4,72.0,101,2.0
军,車,⿱冖车,jūn,"army, military; soldiers, troops","{'type': 'ideographic', 'hint': 'Soldiers\xa0冖 (distorted 力) in a cart 车'}",6,159.2,102,5.0
者,老,⿸耂日,zhě,that which; he who; those who,,8,125.4,103,3.0
意,心,⿱音心,yì,"thought, idea, opinion; think","{'type': 'pictophonetic', 'phonetic': '音', 'semantic': '心', 'hint': 'heart'}",13,61.9,104,2.0
无,无,⿱一尢,wú,"negative, no, not; KangXi radical 71",,4,71.0,105,4.0
力,力,⿻丿？,lì,"power, capability, influence","{'type': 'ideographic', 'hint': ""A plow's head representing strength""}",2,19.0,106,3.0
它,宀,⿱宀匕,tā,it; other,,5,40.2,107,2.0
与,一,⿹？一,yǔ,"and; with; to; for; give, grant",,3,1.3,108,4.0
长,長,⿻？一,zhǎng,long; length; excel in; leader,"{'type': 'ideographic', 'hint': 'Simplified form of\xa0長;\xa0an old man with long hair and a cane'}",4,168.0,109,2.0
把,手,⿰扌巴,bǎ,"hold, take; guard; regard as","{'type': 'pictophonetic', 'phonetic': '巴', 'semantic': '扌', 'hint': 'hand'}",7,64.4,110,3.0
机,木,⿰木几,jī,desk; machine; moment,"{'type': 'ideographic', 'hint': 'A table\xa0几 made of wood\xa0木;\xa0几 also provides the pronunciation'}",6,75.2,111,1.0
十,十,⿻一丨,shí,"ten, tenth; complete; perfect",,2,24.0,112,1.0
民,氏,⿻巳戈,mín,"people, subjects, citizens","{'type': 'ideographic', 'hint': 'An eye\xa0巳 pierced by a dagger 戈, an old mark of slavery'}",5,83.1,113,4.0
第,竹,⿱⺮弟,dì,"sequence, number; grade, degree","{'type': 'ideographic', 'hint': 'Bamboo strips\xa0⺮ arrayed in sequence;\xa0弟 provides the pronunciation'}",11,118.5,114,2.0
公,八,⿱八厶,gōng,"fair, equitable; public; duke","{'type': 'ideographic', 'hint': 'To divide\xa0八\xa0what is private\xa0厶'}",4,12.2,115,2.0
此,止,⿰止匕,cǐ,"this, these; in this case, then","{'type': 'pictophonetic', 'phonetic': '止', 'semantic': '匕', 'hint': 'sitting man'}",6,77.2,116,4.0
已,己,？,yǐ,already; finished; stop,,3,49.0,117,2.0
工,工,⿱一丄,gōng,"labor, work; worker, laborer","{'type': 'pictographic', 'hint': ""A spade or other workman's tool""}",3,48.0,118,1.0
使,人,⿰亻吏,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador","{'type': 'ideographic', 'hint': 'A person\xa0亻 working for the government\xa0吏'}",8,9.6,119,4.0
情,心,⿰忄青,qíng,"feeling, sentiment, emotion","{'type': 'pictophonetic', 'phonetic': '青', 'semantic': '忄', 'hint': 'heart'}",11,61.8,120,2.0
明,日,⿰日月,míng,"bright, light, brilliant; clear","{'type': 'ideographic', 'hint': 'The light of the sun\xa0日 and moon\xa0月'}",8,72.4,121,1.0
性,心,⿰忄生,xìng,"nature, character, sex","{'type': 'pictophonetic', 'phonetic': '生', 'semantic': '忄', 'hint': 'heart'}",8,61.5,122,4.0
知,矢,⿰矢口,zhī,"know, perceive, comprehend","{'type': 'pictophonetic', 'phonetic': '矢', 'semantic': '口', 'hint': 'mouth'}",8,111.3,123,2.0
全,入,⿱入玉,quán,"maintain, keep whole or intact","{'type': 'ideographic', 'hint': 'Jade\xa0玉\xa0put away\xa0入 for safe-keeping'}",6,11.4,124,4.0
三,一,⿱一二,sān,three,"{'type': 'ideographic', 'hint': 'Three \xa0parallel lines; compare 一 (one) and\xa0二 (two)'}",3,1.2,125,1.0
又,又,？,yòu,"and, also, again, in addition","{'type': 'pictographic', 'hint': 'A right hand, representing a pair; compare\xa0左'}",2,29.0,126,3.0
关,八,⿱丷天,guān,frontier pass; close; relation,,6,12.4,127,1.0
点,火,⿱占灬,diǎn,"dot, speck, spot; point, degree","{'type': 'pictophonetic', 'phonetic': '占', 'semantic': '灬', 'hint': 'fire'}",9,86.5,128,1.0
正,止,⿱一止,zhèng,"right, proper, correct","{'type': 'ideographic', 'hint': 'A foot\xa0止 stopping in the right place\xa0一'}",5,77.1,129,2.0
业,一,⿱？一,yè,"profession, business; GB radical 111",,5,1.4,130,3.0
外,夕,⿰夕卜,wài,"out, outside, external; foreign","{'type': 'ideographic', 'hint': 'Night-time 夕\xa0divinations\xa0卜; the supernatural, the foreign'}",5,36.2,131,2.0
将,爿,⿰丬⿱夕寸,jiāng,"will, going to, future; general","{'type': 'ideographic', 'hint': 'Going to bed\xa0丬 at night\xa0夕, a predictable future'}",9,90.6,132,4.0
两,一,⿱一⿻冂从,liǎng,"two, both, pair, couple; ounce","{'type': 'ideographic', 'hint': 'Two people\xa0从 together in a cart'}",7,1.6,133,2.0
高,高,⿳亠口冋,gāo,"high, tall; lofty, elevated","{'type': 'pictographic', 'hint': 'A tall palace'}",10,189.0,134,1.0
间,門,⿵门日,jiān,"midpoint, space; place, locality","{'type': 'ideographic', 'hint': 'The sun\xa0日 shining through a doorway 门'}",7,169.4,135,2.0
由,田,田,yóu,"cause, reason; from","{'type': 'ideographic', 'hint': 'Road\xa0丨\xa0leading to the farm\xa0田'}",5,102.0,136,4.0
问,門,⿵门口,wèn,"ask about, inquire after","{'type': 'pictophonetic', 'phonetic': '门', 'semantic': '口', 'hint': 'mouth'}",6,169.3,137,2.0
很,彳,⿰彳艮,hěn,"very, quite, much","{'type': 'pictophonetic', 'phonetic': '艮', 'semantic': '彳', 'hint': 'step'}",9,60.6,138,1.0
最,曰,⿱日取,zuì,"most, extremely, exceedingly","{'type': 'ideographic', 'hint': 'To take place 取 under the sun\xa0日 (that is, everywhere)'}",12,73.8,139,2.0
重,里,⿻千里,zhòng,"heavy, weighty; double","{'type': 'ideographic', 'hint': 'A burden carried for a thousand\xa0千 miles\xa0里'}",9,166.2,140,3.0
并,干,⿱丷开,bìng,,"{'type': 'ideographic', 'hint': 'Simplified form of 並; two men standing side-by-side'}",6,51.5,141,4.0
物,牛,⿰牛勿,wù,"thing, substance, creature","{'type': 'pictophonetic', 'phonetic': '勿', 'semantic': '牛', 'hint': 'ox'}",8,93.4,142,3.0
手,手,？,shǒu,hand,"{'type': 'pictographic', 'hint': 'A hand with the fingers splayed'}",4,64.0,143,2.0
应,广,⿸广⿱⺍一,yīng,"should, ought to, must",,7,53.4,144,3.0
战,戈,⿰占戈,zhàn,"war, fighting, battle","{'type': 'pictophonetic', 'phonetic': '占', 'semantic': '戈', 'hint': 'spear'}",9,62.5,145,5.0
向,口,⿵？口,xiàng,"toward, direction, trend",,6,30.3,146,3.0
头,大,⿻⺀大,tóu,"head; top; chief, first; boss","{'type': 'pictophonetic', 'semantic': '大', 'hint': 'high'}",5,37.2,147,3.0
文,文,⿱亠乂,wén,"literature, culture, writing","{'type': 'pictographic', 'hint': 'A tattooed chest, representing writing'}",4,67.0,148,3.0
体,人,⿰亻本,tǐ,"body; group, class, body, unit; inferior",,7,9.5,149,2.0
政,攴,⿰正攵,zhèng,"government, political affairs","{'type': 'pictophonetic', 'phonetic': '正', 'semantic': '攵', 'hint': 'script'}",9,66.4,150,5.0
美,羊,⿱羊大,měi,"beautiful, pretty; pleasing","{'type': 'ideographic', 'hint': 'A person\xa0大 wearing an elegant crown 羊'}",9,123.3,151,4.0
相,目,⿰木目,xiāng,"mutual, reciprocal, each other","{'type': 'ideographic', 'hint': 'To stare\xa0目 at a tree\xa0木, meaning to observe'}",9,109.4,152,3.0
见,見,⿵冂儿,jiàn,"see, observe, behold; perceive","{'type': 'ideographic', 'hint': 'Simplified form of\xa0見; a man\xa0儿 with the eye\xa0目 emphasized'}",4,147.0,153,1.0
被,衣,⿰衤皮,bèi,,"{'type': 'pictophonetic', 'phonetic': '皮', 'semantic': '衤', 'hint': 'cloth'}",10,145.5,154,3.0
利,刀,⿰禾刂,lì,"gains, advantage, profit, merit","{'type': 'ideographic', 'hint': 'Harvesting\xa0刂\xa0grain\xa0禾'}",7,18.5,155,4.0
什,人,⿰亻十,shén,"file of ten soldiers; mixed, miscellaneous","{'type': 'ideographic', 'hint': 'A file of ten\xa0十 people 亻'}",4,9.2,156,1.0
二,二,⿱一一,èr,two; twice,"{'type': 'ideographic', 'hint': 'Two \xa0parallel lines; compare 一 (one) and 三 (three)'}",2,7.0,157,1.0
等,竹,⿱⺮寺,děng,,"{'type': 'ideographic', 'hint': 'Bamboo strips\xa0⺮ laid before a court\xa0寺'}",12,118.6,158,2.0
产,立,⿳亠丷厂,chǎn,"give birth, bring forth, produce","{'type': 'pictophonetic', 'phonetic': '厂'}",6,117.1,159,5.0
或,戈,⿹戈⿱口一,huò,"or, either, else; perhaps, maybe","{'type': 'ideographic', 'hint': 'To defend yourself\xa0口\xa0with a spear\xa0戈; ""or else""'}",8,62.4,160,3.0
新,斤,⿰亲斤,xīn,"new, recent, fresh, modern","{'type': 'ideographic', 'hint': 'A freshly chopped 斤 tree\xa0亲'}",13,69.9,161,2.0
己,己,⿱？乚,jǐ,"self, oneself; personal, private; 6th heavenly stem","{'type': 'pictographic', 'hint': 'A loom woven with thread'}",3,49.0,162,3.0
制,刀,⿰⿻？巾刂,zhì,system; establish; overpower,"{'type': 'pictophonetic', 'phonetic': '巾', 'semantic': '刂', 'hint': 'knife'}",8,18.6,163,5.0
身,身,？,shēn,"body; trunk, hull; rad. no. 158","{'type': 'pictographic', 'hint': 'A pregnant woman'}",7,158.0,164,2.0
果,木,⿱田木,guǒ,fruit; result,"{'type': 'ideographic', 'hint': 'Fruit\xa0田 growing on a tree\xa0木'}",8,75.4,165,1.0
加,力,⿰力口,jiā,"add to, increase, augment","{'type': 'ideographic', 'hint': ""Supporting a cause with the strength\xa0力 of one's words\xa0口""}",5,19.3,166,3.0
西,襾,⿻兀囗,xī,"west(ern); westward, occident","{'type': 'pictographic', 'hint': 'A bird settling into its nest, representing sunset; compare\xa0東'}",6,146.0,167,1.0
斯,斤,⿰其斤,sī,"this, thus, such; to lop off; emphatic particle",,12,69.8,168,6.0
月,月,⿵冂二,yuè,moon; month; KangXi radical 74,"{'type': 'pictographic', 'hint': 'A crescent moon'}",4,74.0,169,1.0
话,言,⿰讠舌,huà,"speech, talk, language; dialect","{'type': 'ideographic', 'hint': 'A spoken\xa0讠\xa0tongue\xa0舌;\xa0舌 also provides the pronunciation'}",8,149.6,170,1.0
合,口,⿱亼口,hé,"combine, unite, join; gather",,6,30.3,171,4.0
回,囗,⿴囗口,huí,"return, turn around; a time","{'type': 'ideographic', 'hint': 'Originally, a spiral signifying return'}",6,31.3,172,1.0
特,牛,⿰牛寺,tè,"special, unique, distinguished","{'type': 'pictophonetic', 'phonetic': '寺', 'semantic': '牛', 'hint': 'ox'}",10,93.6,173,3.0
代,人,⿰亻弋,dài,"replace, replacement (of person or generation); era, generation","{'type': 'ideographic', 'hint': 'A man\xa0亻 caught\xa0弋 by the passing of time'}",5,9.3,174,5.0
内,入,⿻冂人,nèi,inside,"{'type': 'ideographic', 'hint': 'A man\xa0人\xa0 entering a door\xa0冂'}",4,11.2,175,4.0
信,人,⿰亻言,xìn,"trust, believe; letter",,9,9.7,176,3.0
表,衣,⿱毛衣,biǎo,"show, express, manifest, display","{'type': 'ideographic', 'hint': 'Fur\xa0毛\xa0clothing\xa0衣; a shawl or wrap'}",8,145.3,177,2.0
化,匕,⿰亻匕,huà,"change, convert, reform; -ize",,4,21.2,178,3.0
老,老,⿱耂匕,lǎo,"old, aged; experienced","{'type': 'pictographic', 'hint': 'A person bent over with long hair\xa0匕\xa0and a crutch; compare\xa0耂'}",6,125.0,179,1.0
给,糸,⿰纟合,gěi,"give; by, for","{'type': 'pictophonetic', 'phonetic': '合', 'semantic': '纟', 'hint': 'thread'}",9,120.6,180,2.0
世,一,⿻廿？,shì,generation; world; era,"{'type': 'pictographic', 'hint': 'Three leaves on a branch'}",5,1.4,181,3.0
位,人,⿰亻立,wèi,"throne; position, post; rank, status; seat","{'type': 'ideographic', 'hint': 'The place where a person\xa0亻 stands\xa0立'}",7,9.5,182,3.0
次,欠,⿰冫欠,cì,"order, sequence; next","{'type': 'ideographic', 'hint': 'A person\xa0欠 yawning multiple times\xa0冫'}",6,76.2,183,2.0
度,广,⿸广⿱廿又,dù,"degree, system; manner; to consider","{'type': 'ideographic', 'hint': 'Twenty\xa0廿\xa0people\xa0又 meeting inside a building\xa0广 to deliberate'}",9,53.6,184,4.0
门,門,⿰⿱丶丨？,mén,"gate, door, entrance, opening","{'type': 'pictographic', 'hint': 'An open doorway or gate'}",3,169.0,185,2.0
任,人,⿰亻壬,rèn,"trust to, rely on, appoint; to bear, duty, office; allow","{'type': 'pictophonetic', 'semantic': '亻', 'hint': 'person', 'phonetic': '壬'}",6,9.4,186,4.0
常,巾,⿱尚巾,cháng,"common, normal, frequent, regular","{'type': 'pictophonetic', 'phonetic': '尚', 'semantic': '巾', 'hint': 'cloth'}",11,50.8,187,2.0
